               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10285,            0.031009,            0.043185,             0.26816,             0.34444,              0.2798,             0.12882,            0.079537,            0.022283,            0.026836,            0.070041,           0.0033288,           0.0033288
                   1,            0.081325,            0.030899,            0.027457,             0.43518,              0.4557,             0.41177,             0.18525,            0.077148,            0.021436,            0.021017,            0.038722,            0.005343,            0.005343
                   2,            0.078415,            0.030855,            0.023928,             0.53355,             0.45002,             0.46685,             0.22857,            0.074079,            0.021488,            0.019069,           0.0060829,           0.0060372,           0.0060372
                   3,             0.07437,            0.031297,            0.022199,             0.61138,             0.47217,             0.50244,             0.27926,             0.07028,            0.021307,            0.018124,             0.00406,             0.00406,             0.00406
                   4,            0.073102,            0.031053,            0.021237,             0.64313,             0.47956,             0.52216,             0.29532,            0.070299,            0.021301,             0.01738,             0.00406,             0.00406,             0.00406
